Text 1	Text 2	Text 3	Sound 3	Picture 3	Text 4	Sound 4	Category 1	Text 6	Text 5	Extra Info
一|yī|0	<size 1.7><center>一</center></size>	<center><font size=6>yī|un, (clé 1)</font></center>	6c36e38fb01552b98be84e8dc491555d.m4a	pic-hand1.jpg			0		一	<font size=12>一</font> (yī)|Mots associés :|第一 [dìyī] premier
七|qī|0	<size 1.7><center>七</center></size>	<center><font size=6>qī|</font></center>	b39037925ecff0181d5360e1583f745b.m4a	pic-hand7.jpg			0		七	<font size=12>七</font> (qī)|
三|sān|0	<size 1.7><center>三</center></size>	<center><font size=6>sān|</font></center>	03c1e916c7d1f386f25b7fb74ceeee23.m4a	pic-hand3.jpg			0		三	<font size=12>三</font> (sān)|
不|bù|0	<size 1.7><center>不</center></size>	<center><font size=6>bù|ne pas (être), non</font></center>	b2f7d59de8478eb3554beccc8f2d3f81.m4a				0		不	<font size=12>不</font> (bù)|
中|zhōng|0	<size 1.7><center>中</center></size>	<center><font size=6>zhōng|milieu</font></center>	0ac2a0b82d5088bfd5e979098d142ecc.m4a				0		中	<font size=12>中</font> (zhōng)|Mots associés :|中秋节 [zhōngqiūjié] fête de la l…
中秋节|zhōngqiūjié|0	<size 1.7><center>中秋节</center></size>	<center><font size=6>zhōngqiūjié|fête de la lune, litt.: festival de la mi-automne</font></center>	3d3857af118e7e50e603761878b1000e.m4a				0		中秋节	<font size=12>中秋节</font> (zhōngqiūjié)||Mots associés :|中 [zhōng] milieu|秋 [qiū] automne|节 [jié] fête (calendaire)
二|èr|0	<size 1.7><center>二</center></size>	<center><font size=6>èr|deux ordinal (clé 7)</font></center>	78cf3bf5a3b50626da14bd52e07b8c5d.m4a	pic-hand2.jpg			0		二	<font size=12>二</font> (èr)|Mots associés :|第二 [dìèr] deuxième
五|wǔ|0	<size 1.7><center>五</center></size>	<center><font size=6>wǔ|</font></center>	9ac619487a2e0f2b7739ef9e632a3e5a.m4a	pic-hand5.jpg			0		五	<font size=12>五</font> (wǔ)|
人|rén|0	<size 1.7><center>人</center></size>	<center><font size=6>rén|une personne, (clé 9)</font></center>	9ed510416a5d2db2c34048455ac162f8.m4a				0		人	<font size=12>人</font> (rén)|Mots associés :|骂人 [màrén] insulter les gens
们|men|0	<size 1.7><center>们</center></size>	<font size=5>men|[suffixé à certains mots, notamment pronoms personnels, pour former le pluriel]</font>|<font size=4><i>« &#86;&#111;&#117;&#108;&#101;&#122;-&#118;&#111;&#117;&#115; [&#112;&#108;&#117;&#114;.] &#117;&#110; &#103;&#226;&#116;&#101;&#97;&#117; &#100;&#101; &#108;&#117;&#110;&#101;? »</i></font>	d2fc17cc2feffa1de5217a3fd29e91e8.m4a		|<font size=9>&#20320;<color yellow>&#20204;</color>&#35201;&#26376;&#39292;&#21527;？</font>	d45af37d9b3d58cb2867db1eb19a27d8.m4a	1		们	<font size=12>们</font> (men)|Mots associés :|你们 [nǐmen] vous [pluriel]|我们 [wǒmen] nous
