6c36e38fb01552b98be84e8dc491555d.m4a	一 (yī)
03c1e916c7d1f386f25b7fb74ceeee23.m4a	三 (sān)
78cf3bf5a3b50626da14bd52e07b8c5d.m4a	二 (èr)
9ac619487a2e0f2b7739ef9e632a3e5a.m4a	五 (wǔ)
d2fc17cc2feffa1de5217a3fd29e91e8.m4a	们 (men)
5a9b2d7ae1ee031ad6f2ee4b3e6c4bf7.m4a	你们 (nǐmen)
0ad584171521ad6ec7dbce5e358c2d8b.m4a	先生 (xiānsheng)
b74df323e3939b563635a2cba7a7afba.m4a	吗 (ma)
f02348eea1c0c83d0141fca173f861b9.m4a	哥哥 (gēge)
45eab7da337580ee56bc7b8b39bcc101.m4a	喜欢 (xǐhuān)
62d08c707c0569f0482567ffb96a57e5.m4a	四 (sì)
ca189c258ed350f3f17f32abd0a41c17.m4a	妈 (mā)
ce01569dec2a343f0336937ddf54509b.m4a	妈妈 (māma)
b25dd905b6f1dfdb2cda62c58d8dbf38.m4a	弟弟 (dìdi)
a8a3ebe26bfa9e836d64ea47ae2bd844.m4a	慢 (màn)
9af2c75f1c597d71642bb8dcf6dfb968.m4a	我们 (wǒmen)
23f0897cb58a30daf00f78ffde57aaa3.m4a	数字 (shùzì)
4178d476cf67f204b9c7ed0aa9697179.m4a	李 (lǐ)
5bfaeb8d055b3ebe4b12e482efcf32a4.m4a	王 (wáng)
6706747ba5162fe7b9f347434e2b539c.m4a	第 (dì)
ce64b74736a3c72f5ef410b5367646aa.m4a	第一 (dìyī)
04738cd7dcab3018e285b3efed815acb.m4a	第二 (dìèr)
b5c7a50fb9a7e1f6862d56935b5fbaa0.m4a	课 (kè)
fd027368b966bab4263f367762d20cb8.m4a	马 (mǎ)
9aa531470fce6903a6c6f4a3751c6205.m4a	骂 (mà)
6d937c53c939c1404fb9c82ea585be02.m4a	骂人 (màrén)
4ed9d2e34f86e0b3d223a937d0c8a546.m4a	妈妈骑马，马慢，妈妈骂马。
bb0b6bc45375143826f72439e050743e.m4a	你好吗？
af96a73bf7502fe6595a767adf2dfa63.m4a	我很好。
d45af37d9b3d58cb2867db1eb19a27d8.m4a	你们要月饼吗？
5d3ffdbd021e60d9e4fe1c33b9b036fa.m4a	你喜欢妈妈吗？
dc34f14235189c19b03ecc32e37d5bda.m4a	你喜欢我吗？
